Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Christian McCaffrey (29526701),Christian McCaffrey,29526701,RB/FLEX,8900,SF@LAR 09/17/2023 04:05PM ET,SF,28.9
RB,Austin Ekeler (29526703),Austin Ekeler,29526703,RB/FLEX,8700,LAC@TEN 09/17/2023 01:00PM ET,LAC,29.4
QB,Patrick Mahomes (29526626),Patrick Mahomes,29526626,QB,8300,KC@JAX 09/17/2023 01:00PM ET,KC,20.54
WR,Stefon Diggs (29526975),Stefon Diggs,29526975,WR/FLEX,8000,LV@BUF 09/17/2023 01:00PM ET,BUF,29.2
RB,Saquon Barkley (29526705),Saquon Barkley,29526705,RB/FLEX,8000,NYG@ARI 09/17/2023 04:05PM ET,NYG,9.3
RB,Bijan Robinson (29526707),Bijan Robinson,29526707,RB/FLEX,7900,GB@ATL 09/17/2023 01:00PM ET,ATL,20.3
QB,Josh Allen (29526627),Josh Allen,29526627,QB,7900,LV@BUF 09/17/2023 01:00PM ET,BUF,13.04
WR,Ja'Marr Chase (29526977),Ja'Marr Chase,29526977,WR/FLEX,7900,BAL@CIN 09/17/2023 01:00PM ET,CIN,9.1
WR,Amon-Ra St. Brown (29526979),Amon-Ra St. Brown,29526979,WR/FLEX,7800,SEA@DET 09/17/2023 01:00PM ET,DET,19.1
QB,Lamar Jackson (29526628),Lamar Jackson,29526628,QB,7700,BAL@CIN 09/17/2023 01:00PM ET,BAL,8.56
WR,CeeDee Lamb (29526981),CeeDee Lamb,29526981,WR/FLEX,7700,NYJ@DAL 09/17/2023 04:25PM ET,DAL,11.7
WR,Davante Adams (29526983),Davante Adams,29526983,WR/FLEX,7600,LV@BUF 09/17/2023 01:00PM ET,LV,12.6
TE,Travis Kelce (29527415),Travis Kelce,29527415,TE/FLEX,7600,KC@JAX 09/17/2023 01:00PM ET,KC,0
QB,Justin Fields (29526629),Justin Fields,29526629,QB,7600,CHI@TB 09/17/2023 01:00PM ET,CHI,16.54
RB,Tony Pollard (29526709),Tony Pollard,29526709,RB/FLEX,7500,NYJ@DAL 09/17/2023 04:25PM ET,DAL,22.2
WR,Garrett Wilson (29526985),Garrett Wilson,29526985,WR/FLEX,7500,NYJ@DAL 09/17/2023 04:25PM ET,NYJ,14.4
