Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
93784-55050,RB,Christian,Christian McCaffrey,McCaffrey,24.399999618530273,1,9500,SF@LAR,SF,LAR,,,,,,RB/FLEX
93784-80001,RB,Austin,Austin Ekeler,Ekeler,24.399999618530273,1,9200,LAC@TEN,LAC,TEN,Q,Ankle,,,,RB/FLEX
93784-62239,QB,Josh,Josh Allen,Allen,12.039999961853027,1,9200,LV@BUF,BUF,LV,,,,,,QB
93784-57439,QB,Patrick,Patrick Mahomes,Mahomes,20.540000915527344,1,9000,KC@JAX,KC,JAX,,,,,,QB
93784-64401,RB,Saquon,Saquon Barkley,Barkley,7.800000190734863,1,8800,NYG@ARI,NYG,ARI,,,,,,RB/FLEX
93784-33076,TE,Travis,Travis Kelce,Kelce,16.225,20,8500,KC@JAX,KC,JAX,Q,Knee,,,,TE/FLEX
93784-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,6.599999904632568,1,8400,BAL@CIN,CIN,BAL,,,,,,WR/FLEX
93784-39280,RB,Derrick,Derrick Henry,Henry,12.899999618530273,1,8300,LAC@TEN,TEN,LAC,,,,,,RB/FLEX
93784-64555,WR,Calvin,Calvin Ridley,Ridley,20.100000381469727,1,8300,KC@JAX,JAX,KC,,,,,,WR/FLEX
93784-69189,QB,Justin,Justin Herbert,Herbert,20.920000076293945,1,8200,LAC@TEN,LAC,TEN,,,,,,QB
93784-89956,RB,Travis,Travis Etienne Jr.,Etienne Jr.,18.899999618530273,1,8200,KC@JAX,JAX,KC,,,,,,RB/FLEX
93784-86997,WR,Amon-Ra,Amon-Ra St. Brown,St. Brown,16.100000381469727,1,8100,SEA@DET,DET,SEA,,,,,,WR/FLEX
93784-136855,RB,Bijan,Bijan Robinson,Robinson,17.299999237060547,1,8100,GB@ATL,ATL,GB,,,,,,RB/FLEX
93784-63759,RB,Tony,Tony Pollard,Pollard,21.200000762939453,1,8000,NYJ@DAL,DAL,NYJ,,,,,,RB/FLEX
93784-25079,WR,Stefon,Stefon Diggs,Diggs,21.200000762939453,1,8000,LV@BUF,BUF,LV,,,,,,WR/FLEX
93784-52436,TE,Mark,Mark Andrews,Andrews,10.237500190734863,16,8000,BAL@CIN,BAL,CIN,Q,Quadriceps,,,,TE/FLEX
93784-91591,QB,Justin,Justin Fields,Fields,15.539999961853027,1,8000,CHI@TB,CHI,TB,,,,,,QB
93784-29253,WR,Keenan,Keenan Allen,Allen,11.199999809265137,1,7800,LAC@TEN,LAC,TEN,,,,,,WR/FLEX
93784-89951,QB,Trevor,Trevor Lawrence,Lawrence,18.739999771118164,1,7800,KC@JAX,JAX,KC,,,,,,QB
93784-73048,WR,DK,DK Metcalf,Metcalf,12.199999809265137,1,7700,SEA@DET,SEA,DET,,,,,,WR/FLEX
93784-86631,WR,CeeDee,CeeDee Lamb,Lamb,9.699999809265137,1,7600,NYJ@DAL,DAL,NYJ,,,,,,WR/FLEX
93784-40442,RB,Aaron,Aaron Jones,Jones,25.700000762939453,1,7600,GB@ATL,GB,ATL,Q,Hamstring,,,,RB/FLEX
93784-63115,QB,Lamar,Lamar Jackson,Jackson,7.559999942779541,1,7600,BAL@CIN,BAL,CIN,,,,,,QB
93784-63519,QB,Daniel,Daniel Jones,Jones,6.460000038146973,1,7500,NYG@ARI,NYG,ARI,,,,,,QB
93784-129315,QB,Anthony,Anthony Richardson,Richardson,21.920000076293945,1,7500,IND@HOU,IND,HOU,Q,Knee,,,,QB
93784-45889,WR,Davante,Davante Adams,Adams,9.600000381469727,1,7500,LV@BUF,LV,BUF,,,,,,WR/FLEX
93784-72731,RB,Josh,Josh Jacobs,Jacobs,8.100000381469727,1,7500,LV@BUF,LV,BUF,,,,,,RB/FLEX
93784-85798,WR,Brandon,Brandon Aiyuk,Aiyuk,28.899999618530273,1,7500,SF@LAR,SF,LAR,,,,,,WR/FLEX
93784-31716,QB,Dak,Dak Prescott,Prescott,6.320000171661377,1,7400,NYJ@DAL,DAL,NYJ,,,,,,QB
93784-103564,WR,Garrett,Garrett Wilson,Wilson,11.899999618530273,1,7400,NYJ@DAL,NYJ,DAL,,,,,,WR/FLEX
93784-63336,QB,Joe,Joe Burrow,Burrow,3.180000066757202,1,7400,BAL@CIN,CIN,BAL,,,,,,QB
93784-38435,QB,Jared,Jared Goff,Goff,14.020000457763672,1,7300,SEA@DET,DET,SEA,,,,,,QB
93784-52442,RB,Joe,Joe Mixon,Mixon,8.800000190734863,1,7200,BAL@CIN,CIN,BAL,,,,,,RB/FLEX
93784-69017,QB,Jordan,Jordan Love,Love,23,1,7200,GB@ATL,GB,ATL,,,,,,QB
93784-69213,WR,Michael,Michael Pittman Jr.,Pittman Jr.,19.700000762939453,1,7200,IND@HOU,IND,HOU,,,,,,WR/FLEX
93784-16606,WR,DeAndre,DeAndre Hopkins,Hopkins,10,1,7100,LAC@TEN,TEN,LAC,,,,,,WR/FLEX
