ID,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting
nfl.p.26483,Case,Keenum,QB,HOU,BAL,HOU@BAL,1:00PM EDT,20,0.2,Q," "
nfl.p.26664,Robert,Woods,WR,HOU,BAL,HOU@BAL,1:00PM EDT,11,5.2," "," "
nfl.p.30352,Noah,Brown,WR,HOU,BAL,HOU@BAL,1:00PM EDT,10,5.5," "," "
nfl.p.30364,Mason,Schreck,TE,HOU,BAL,HOU@BAL,1:00PM EDT,10,0.8," "," "
nfl.p.30860,Dare,Ogunbowale,RB,HOU,BAL,HOU@BAL,1:00PM EDT,10,2.6,Q," "
nfl.p.31107,Dalton,Schultz,TE,HOU,BAL,HOU@BAL,1:00PM EDT,19,8.8," "," "
nfl.p.31228,Mike,Boone,RB,HOU,BAL,HOU@BAL,1:00PM EDT,10,3.0," "," "
nfl.p.31906,Devin,Singletary,RB,HOU,BAL,HOU@BAL,1:00PM EDT,12,9.6," "," "
nfl.p.32124,Alex,Bachman,WR,HOU,BAL,HOU@BAL,1:00PM EDT,10,0.0," "," "
nfl.p.32187,Steven,Sims,WR,HOU,BAL,HOU@BAL,1:00PM EDT,10,2.0," "," "
nfl.p.32225,Andrew,Beck,RB,HOU,BAL,HOU@BAL,1:00PM EDT,10,1.0," "," "
nfl.p.33455,Davis,Mills,QB,HOU,BAL,HOU@BAL,1:00PM EDT,20,13.1," "," "
nfl.p.33477,Nico,Collins,WR,HOU,BAL,HOU@BAL,1:00PM EDT,12,7.9," "," "
nfl.p.33535,Brevin,Jordan,TE,HOU,BAL,HOU@BAL,1:00PM EDT,10,2.2,Q," "
nfl.p.33597,Jalen,Camp,WR,HOU,BAL,HOU@BAL,1:00PM EDT,10,1.2," "," "
nfl.p.33632,Gerrid,Doaks,RB,HOU,BAL,HOU@BAL,1:00PM EDT,10,0.0,Q," "
nfl.p.33999,John,Metchie III,WR,HOU,BAL,HOU@BAL,1:00PM EDT,10,0.0," "," "
nfl.p.34063,Dameon,Pierce,RB,HOU,BAL,HOU@BAL,1:00PM EDT,18,11.6," "," "
nfl.p.34601,Johnny,Johnson III,WR,HOU,BAL,HOU@BAL,1:00PM EDT,10,0.0," "," "
nfl.p.27540,Odell,Beckham Jr.,WR,BAL,HOU,HOU@BAL,1:00PM EDT,14,0.0," "," "
nfl.p.28408,Nelson,Agholor,WR,BAL,HOU,HOU@BAL,1:00PM EDT,10,4.0," "," "
nfl.p.31002,Lamar,Jackson,QB,BAL,HOU,HOU@BAL,1:00PM EDT,29,20.3," "," "
nfl.p.31056,Mark,Andrews,TE,BAL,HOU,HOU@BAL,1:00PM EDT,25,10.2," "," "
nfl.p.31424,Gus,Edwards,RB,BAL,HOU,HOU@BAL,1:00PM EDT,17,6.5," "," "
nfl.p.31945,Justice,Hill,RB,BAL,HOU,HOU@BAL,1:00PM EDT,13,2.4," "," "
nfl.p.32762,Devin,Duvernay,WR,BAL,HOU,HOU@BAL,1:00PM EDT,10,7.0," "," "
nfl.p.32871,James,Proche II,WR,BAL,HOU,HOU@BAL,1:00PM EDT,10,0.8,Q," "
nfl.p.32993,Tyler,Huntley,QB,BAL,HOU,HOU@BAL,1:00PM EDT,20,12.1,Q," "
nfl.p.33519,Tylan,Wallace,WR,BAL,HOU,HOU@BAL,1:00PM EDT,10,0.9," "," "
nfl.p.33572,Ben,Mason,RB,BAL,HOU,HOU@BAL,1:00PM EDT,10,0.0," "," "
nfl.p.33797,Tarik,Black,WR,BAL,HOU,HOU@BAL,1:00PM EDT,10,0.0," "," "
nfl.p.34084,Charlie,Kolar,TE,BAL,HOU,HOU@BAL,1:00PM EDT,10,6.9," "," "
nfl.p.34095,Isaiah,Likely,TE,BAL,HOU,HOU@BAL,1:00PM EDT,10,5.2," "," "
nfl.p.34387,Shemar,Bridges,WR,BAL,HOU,HOU@BAL,1:00PM EDT,10,0.0," "," "
nfl.p.34389,Anthony,Brown,QB,BAL,HOU,HOU@BAL,1:00PM EDT,20,3.8," "," "
nfl.p.40639,Owen,Wright,RB,BAL,HOU,HOU@BAL,1:00PM EDT,10,0.0," "," "
nfl.p.40640,Sean,Ryan,WR,BAL,HOU,HOU@BAL,1:00PM EDT,10,0.0," "," "
nfl.p.40641,Keaton,Mitchell,RB,BAL,HOU,HOU@BAL,1:00PM EDT,10,0.0,Q," "
nfl.p.40642,Dontay,Demus Jr.,WR,BAL,HOU,HOU@BAL,1:00PM EDT,10,0.0," "," "
nfl.p.40643,Travis,Vokolek,TE,BAL,HOU,HOU@BAL,1:00PM EDT,10,0.0," "," "
nfl.t.34,Houston,Texans,DEF,HOU,BAL,HOU@BAL,1:00PM EDT,13,0.0," "," "
nfl.t.33,Baltimore,Ravens,DEF,BAL,HOU,HOU@BAL,1:00PM EDT,21,0.0," "," "
